category,source,question,answer,explanation
관할과 이송,검수형 안정문항,국제재판관할은 민사소송법과 국제재판관할 일반원칙에 따라 판단한다.,O,국제재판관할에 관한 규정과 판례법리가 적용된다.

당사자와 소송행위,검수형 안정문항,법정대리인은 본인을 위하여 소송행위를 할 수 있다.,O,소송능력이 없는 자를 대신하여 소송행위를 한다.
당사자와 소송행위,검수형 안정문항,소송대리인의 상소제기에는 특별수권이 필요하다.,O,상소는 특별수권 사항이다.
당사자와 소송행위,검수형 안정문항,재판상 자백은 상대방의 증명을 불필요하게 한다.,O,자백한 사실은 증거조사가 필요 없다.
당사자와 소송행위,검수형 안정문항,재판상 자백은 원칙적으로 임의로 철회할 수 없다.,O,상대방 동의 또는 착오 등 특별사정이 필요하다.
당사자와 소송행위,검수형 안정문항,변론주의 아래에서는 당사자가 주장하지 않은 주요사실을 법원이 판단기초로 삼을 수 없다.,O,주요사실은 당사자의 주장에 의하여야 한다.
당사자와 소송행위,검수형 안정문항,소송상 화해는 확정판결과 동일한 효력을 가진다.,O,기판력이 인정된다.
당사자와 소송행위,검수형 안정문항,소송행위는 신의칙에 반하더라도 언제나 유효하다.,X,권리남용적 소송행위는 제한될 수 있다.
당사자와 소송행위,검수형 안정문항,소송행위는 법률이 정한 방식과 절차를 따라야 한다.,O,방식 위반 시 부적법해질 수 있다.
당사자와 소송행위,검수형 안정문항,당사자적격은 원고의 주장 자체를 기준으로 판단하는 것이 원칙이다.,O,본안판단 전 단계에서는 원고 주장 기준으로 판단한다.
당사자와 소송행위,검수형 안정문항,변호사 아닌 자는 어떠한 민사소송에서도 대리인이 될 수 없다.,X,단독사건 등에서는 예외적으로 허용되는 경우가 있다.

증거와 판결,검수형 안정문항,민사소송에서는 자유심증주의가 적용된다.,O,증거의 증명력은 법관의 자유로운 판단에 맡겨진다.
증거와 판결,검수형 안정문항,문서제출명령을 정당한 이유 없이 거부하면 불이익한 판단이 가능하다.,O,상대방 주장 진실 인정 등의 효과가 문제될 수 있다.
증거와 판결,검수형 안정문항,증명책임은 법률효과를 주장하는 자가 부담하는 것이 원칙이다.,O,법률요건분류설에 따른 일반 원칙이다.
증거와 판결,검수형 안정문항,판결은 선고에 의해 효력이 발생한다.,O,판결 효력은 선고 시 발생한다.
증거와 판결,검수형 안정문항,기판력은 원칙적으로 판결 주문에 포함된 판단에 발생한다.,O,주문 판단이 기판력의 객관적 범위가 된다.
증거와 판결,검수형 안정문항,확정판결의 기판력은 원칙적으로 당사자와 그 승계인에게 미친다.,O,제3자 일반에게 미치는 것은 아니다.
증거와 판결,검수형 안정문항,가집행선고는 판결 확정 전 강제집행을 가능하게 한다.,O,확정 전 집행력을 부여한다.
증거와 판결,검수형 안정문항,항소기간은 판결서 송달일부터 2주이다.,O,민사소송법상 항소 제기기간이다.
증거와 판결,검수형 안정문항,상고심은 원칙적으로 법률심이다.,O,사실인정보다는 법령위반 여부를 심사한다.
증거와 판결,검수형 안정문항,재심은 확정판결에 중대한 하자가 있는 경우 인정될 수 있다.,O,법정 재심사유가 있어야 가능하다.
